income,loan_amount,credit_score,loan_term_months,dependents,employment_years,existing_loans,approved
29391,198747,705,60,1,4.2,1,0
90096,216871,634,12,3,5.7,0,1
15000,156188,698,48,0,5.2,0,0
88929,253427,730,12,1,5.5,0,1
59220,70082,621,60,0,9.6,0,1
53066,136444,812,24,0,5.2,0,1
44102,99822,671,24,1,11.6,0,1
62983,20000,695,12,0,6.1,0,1
54247,144212,710,60,1,3.7,1,1
77066,141478,688,24,0,9,0,1
57285,255941,726,60,0,4.8,0,1
58006,194157,594,24,2,0,0,0
47728,78307,600,60,1,5,0,1
53861,279786,551,36,1,4.3,0,0
61156,235472,690,60,1,9.8,2,0
20797,190747,720,60,2,2.3,1,0
28036,134146,691,12,0,4,2,0
69865,82839,801,36,1,8.8,1,1
58417,123946,649,48,3,6.2,0,1
51320,226212,710,12,2,4.5,0,1
55369,281921,552,48,1,2.7,0,1
61952,258027,615,24,1,6.1,0,0
44205,115781,713,48,2,4.9,2,0
39434,71627,726,60,1,2.7,0,0
58917,159862,624,48,0,2.9,1,1
35433,26209,644,12,0,2.6,0,1
63165,172622,513,12,2,2,1,0
20948,139668,618,48,0,7.8,2,0
75583,117377,730,12,2,7.4,1,0
64452,38371,702,12,0,7.8,1,1
60121,185952,695,48,1,5,0,1
74654,112711,654,36,0,4.3,1,1
88309,68106,651,36,0,4.3,2,0
75287,20000,591,24,3,8.1,1,0
18183,148074,713,12,2,0,1,0
29408,274058,688,48,1,3.5,1,0
42504,266288,694,12,1,2.3,1,0
55522,118003,603,60,1,9.1,0,0
65353,107845,456,12,1,3.6,1,0
40485,182814,749,12,1,0.1,0,0
58735,80113,607,36,0,5.7,0,1
39892,171125,572,48,1,3.9,0,0
42770,203626,712,12,2,3.3,0,1
26867,235885,615,36,3,3,0,0
36535,142989,745,24,0,2.9,0,1
27966,135743,706,36,2,7.1,0,0
35483,88541,712,36,1,5.7,0,1
76073,92118,527,36,1,4.4,0,1
36012,134146,759,12,0,1.7,1,0
107648,175716,674,12,1,4.5,2,1
64866,213951,617,24,0,5.8,1,0
58697,93777,663,60,0,5.9,2,1
37833,254488,490,60,2,5.5,1,0
69006,131021,687,60,2,2.2,0,1
43487,148504,557,24,1,0,1,0
57440,97695,528,60,3,10.4,1,0
106202,20000,513,60,0,1.1,0,1
53079,211883,750,36,0,0,0,1
77985,201579,593,12,1,5.4,1,0
40936,130307,788,12,0,0,0,1
54300,154689,602,36,0,2.6,1,1
90416,186116,496,36,0,6.6,0,0
42461,40622,550,36,0,10.3,0,1
91249,112966,761,12,2,6.2,0,1
69155,205599,636,60,0,3.7,0,1
43751,62200,601,36,1,4.8,0,1
67648,170549,664,24,0,0,1,0
74451,55039,695,36,1,3.6,1,1
67436,182650,751,48,0,3.7,1,1
23596,147505,780,36,2,5.5,0,0
40457,36941,618,12,1,10.8,1,0
50050,231532,531,36,0,0,0,0
53511,98579,613,48,1,3.8,0,1
67413,93282,673,24,0,0,0,1
58554,164040,563,60,1,3.5,0,1
28293,230405,564,36,0,2.4,0,0
62604,78892,681,48,3,0.5,0,0
67212,154318,646,48,0,7.7,1,1
66196,180017,653,24,1,5.8,1,1
76616,198517,582,12,0,7.4,0,1
71678,162351,629,36,0,3.4,0,0
64184,124308,567,48,1,4.8,0,1
53597,92069,730,24,3,9.8,0,1
21781,156030,743,60,0,5,1,0
63592,74950,484,48,0,7.4,0,0
59154,20000,566,24,0,3.1,1,1
60432,180559,515,12,0,7.1,1,1
29465,213275,591,12,0,3.4,0,0
33379,20000,642,48,1,0,2,0
76063,79319,520,48,0,5,0,0
54209,193341,567,36,0,3.6,0,1
68630,294025,560,24,2,0.1,0,0
55566,151456,669,48,0,5.6,0,1
55595,99040,656,36,0,2.3,0,1
